source,target,percentage
redacted,vidtodo.com,1.669626732
redacted,vidto.me,0.843056586
redacted,vidup.me,4.223276355
redacted,vidzi.tv,4.13559847
redacted,watchers.to,9.270375116
remove your media llc,auroravid.to,0.003433913
remove your media llc,bitvid.sx,0
remove your media llc,cloudtime.to,0
remove your media llc,daclips.com,0.000686783
remove your media llc,daclips.in,0
remove your media llc,divxstage.to,0.021977041
remove your media llc,estream.to,0
remove your media llc,gorillavid.com,8.300797011
remove your media llc,gorillavid.in,0
remove your media llc,movpod.in,0.019916693
remove your media llc,movpod.net,0.008584782
remove your media llc,movshare.net,0
remove your media llc,novamov.com,0
remove your media llc,nowvideo.sx,0.108168248
remove your media llc,openload.co,0.061810427
remove your media llc,speedvid.net,89.23537067
remove your media llc,streamango.com,0
remove your media llc,streamin.to,0.741038347
remove your media llc,streamplay.to,0.006524434
remove your media llc,thevideobee.to,0.000686783
remove your media llc,thevideo.me,0.00274713
remove your media llc,veehd.com,0.936771367
remove your media llc,veoh.com,0.056316167
remove your media llc,vidlox.tv,0
remove your media llc,vidtodo.com,0.126367985
remove your media llc,vidto.me,0.000686783
remove your media llc,vidup.me,0.226638234
remove your media llc,vidzi.tv,0.128428333
remove your media llc,watchers.to,0.013048868
rivendell,auroravid.to,6.601419395
rivendell,bitvid.sx,0.072468392
rivendell,cloudtime.to,0.157311607
rivendell,daclips.com,0.091728009
rivendell,daclips.in,0
rivendell,divxstage.to,2.73133427
rivendell,estream.to,0
rivendell,gorillavid.com,2.859593233
rivendell,gorillavid.in,0
rivendell,movpod.in,3.815333208
rivendell,movpod.net,0.078344207
rivendell,movshare.net,0
rivendell,novamov.com,0.058728479
rivendell,nowvideo.sx,0.091164168
rivendell,openload.co,0.505409163
rivendell,speedvid.net,45.16653337
rivendell,streamango.com,1.261401085
rivendell,streamin.to,3.151009943
rivendell,streamplay.to,4.057042892
rivendell,thevideobee.to,0.23304434
rivendell,thevideo.me,0.1331258
rivendell,veehd.com,10.66294334
rivendell,veoh.com,0.00691447
rivendell,vidlox.tv,0.092707312
rivendell,vidtodo.com,1.415121916
rivendell,vidto.me,4.271688214
rivendell,vidup.me,3.491124699
rivendell,vidzi.tv,7.757649318
rivendell,watchers.to,1.236859169
skywalker digital ltd.,auroravid.to,0
skywalker digital ltd.,bitvid.sx,0.001123015
skywalker digital ltd.,cloudtime.to,0.003369045
skywalker digital ltd.,daclips.com,0.050535678
skywalker digital ltd.,daclips.in,0
skywalker digital ltd.,divxstage.to,0
skywalker digital ltd.,estream.to,0
skywalker digital ltd.,gorillavid.com,0.016845226
skywalker digital ltd.,gorillavid.in,0
skywalker digital ltd.,movpod.in,0
skywalker digital ltd.,movpod.net,0
skywalker digital ltd.,movshare.net,0
skywalker digital ltd.,novamov.com,0
skywalker digital ltd.,nowvideo.sx,0
skywalker digital ltd.,openload.co,0
skywalker digital ltd.,speedvid.net,98.70291759
skywalker digital ltd.,streamango.com,0
skywalker digital ltd.,streamin.to,0.31669025
skywalker digital ltd.,streamplay.to,0.567122611
skywalker digital ltd.,thevideobee.to,0.042674573
skywalker digital ltd.,thevideo.me,0.00224603
skywalker digital ltd.,veehd.com,0.194281607
skywalker digital ltd.,veoh.com,0.00224603
skywalker digital ltd.,vidlox.tv,0.003369045
skywalker digital ltd.,vidtodo.com,0.076365025
skywalker digital ltd.,vidto.me,0
skywalker digital ltd.,vidup.me,0
skywalker digital ltd.,vidzi.tv,0.020214271
skywalker digital ltd.,watchers.to,0
vobile inc,auroravid.to,0.174016827
vobile inc,bitvid.sx,0.013907656
vobile inc,cloudtime.to,0.012600897
vobile inc,daclips.com,0.015152189
vobile inc,daclips.in,0
