SS1,SS2,Similarity
divxstage.to,gorillavid.in,5.389221556886228
divxstage.to,movpod.in,11.25
divxstage.to,movpod.ne,11.25
divxstage.to,movshare.ne,42.05607476635514
divxstage.to,novamov.co,67.04545454545455
divxstage.to,nowvideo.sx,74.84662576687117
divxstage.to,openload.co,40.50632911392405
divxstage.to,speedvid.ne,23.308270676691727
divxstage.to,streamango.co,8.358208955223882
divxstage.to,streamflv.co,4.958677685950414
divxstage.to,streamin.to,33.093525179856115
divxstage.to,streamplay.to,41.284403669724774
divxstage.to,thevideo.me,39.38223938223938
divxstage.to,thevideobee.to,22.142857142857142
divxstage.to,veehd.co,7.8711985688729875
divxstage.to,veoh.co,8.04953560371517
divxstage.to,videoweed.co,79.06976744186046
divxstage.to,videoweed.es,79.06976744186046
divxstage.to,vidlox.tv,30.630630630630627
divxstage.to,vidto.me,5.594405594405594
divxstage.to,vidtodo.co,24.150943396226417
divxstage.to,vidup.me,10.899182561307901
divxstage.to,vidzi.tv,21.59090909090909
divxstage.to,watchers.to,10.702341137123746
estream.to,gorillavid.co,6.896551724137931
estream.to,gorillavid.in,6.896551724137931
estream.to,movpod.in,8.524590163934425
estream.to,movpod.ne,8.524590163934425
estream.to,movshare.ne,40.20100502512563
estream.to,novamov.co,40.993788819875775
estream.to,nowvideo.sx,39.189189189189186
estream.to,openload.co,31.53153153153153
estream.to,speedvid.ne,29.482071713147413
estream.to,streamango.co,6.25
estream.to,streamflv.co,6.896551724137931
estream.to,streamin.to,29.65779467680608
estream.to,streamplay.to,28.57142857142857
estream.to,thevideo.me,36.885245901639344
estream.to,thevideobee.to,37.735849056603776
estream.to,veehd.co,4.411764705882353
estream.to,veoh.co,5.844155844155844
estream.to,videoweed.co,35.6687898089172
estream.to,videoweed.es,35.6687898089172
estream.to,vidlox.tv,28.985507246376812
estream.to,vidto.me,8.212560386473431
estream.to,vidtodo.co,42.4
estream.to,vidup.me,9.659090909090908
estream.to,vidzi.tv,47.20496894409938
estream.to,watchers.to,7.042253521126761
gorillavid.co,gorillavid.in,100.0
gorillavid.co,movpod.in,60.59322033898306
gorillavid.co,movpod.ne,60.59322033898306
gorillavid.co,movshare.ne,25.683060109289617
gorillavid.co,novamov.co,20.73170731707317
gorillavid.co,nowvideo.sx,20.952380952380953
gorillavid.co,openload.co,24.67866323907455
gorillavid.co,speedvid.ne,24.401913875598087
gorillavid.co,streamango.co,2.8747433264887063
gorillavid.co,streamflv.co,5.825242718446602
gorillavid.co,streamin.to,27.44186046511628
gorillavid.co,streamplay.to,20.54054054054054
gorillavid.co,thevideo.me,22.38442822384428
gorillavid.co,thevideobee.to,26.851851851851855
gorillavid.co,veehd.co,3.6568213783403656
gorillavid.co,veoh.co,3.3684210526315788
gorillavid.co,videoweed.co,20.98765432098765
gorillavid.co,videoweed.es,20.98765432098765
gorillavid.co,vidlox.tv,34.22459893048128
gorillavid.co,vidto.me,4.475043029259897
gorillavid.co,vidtodo.co,23.980815347721823
gorillavid.co,vidup.me,7.321772639691715
gorillavid.co,vidzi.tv,23.170731707317074
gorillavid.co,watchers.to,5.321507760532151
gorillavid.in,movpod.in,60.59322033898306
gorillavid.in,movpod.ne,60.59322033898306
gorillavid.in,movshare.ne,25.683060109289617
gorillavid.in,novamov.co,20.73170731707317
gorillavid.in,nowvideo.sx,20.952380952380953
gorillavid.in,openload.co,24.67866323907455
gorillavid.in,speedvid.ne,24.401913875598087
gorillavid.in,streamango.co,2.8747433264887063
gorillavid.in,streamflv.co,5.825242718446602
gorillavid.in,streamin.to,27.44186046511628
gorillavid.in,streamplay.to,20.54054054054054
gorillavid.in,thevideo.me,22.38442822384428
gorillavid.in,thevideobee.to,26.851851851851855
gorillavid.in,veehd.co,3.6568213783403656
gorillavid.in,veoh.co,3.3684210526315788
gorillavid.in,videoweed.co,20.98765432098765
gorillavid.in,videoweed.es,20.98765432098765
