source,target
sd7,as243
sd28,as243
sd7,as244
sd15,as245
sd15,as243
sd17,as245
sd11,as246
sd10,as246
sd18,as247
sd27,as246
sd21,as248
sd30,as243
sd27,as243
sd19,as245
sd22,as249
sd27,as244
sd26,as249
sd23,as250
sd20,as243
sd29,as243
sd5,as246
sd31,as251
sd4,as246
sd18,as249
sd26,as245
sd30,as244
sd8,as246
sd9,as246
sd16,as246
