source,target,edge
15,245,"(15,245),"
15,243,"(15,243),"
11,246,"(11,246),"
10,246,"(10,246),"
18,247,"(18,247),"
27,246,"(27,246),"
21,248,"(21,248),"
22,249,"(22,249),"
27,244,"(27,244),"
26,249,"(26,249),"
23,250,"(23,250),"
20,243,"(20,243),"
29,243,"(29,243),"
5,246,"(5,246),"
31,251,"(31,251),"
4,246,"(4,246),"
30,244,"(30,244),"
8,246,"(8,246),"
9,246,"(9,246),"
